,City,Year,Company,Model,Variant,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price,Ex_Showroom_Price
1818,Noida,2019,MARUTI,DZIRE,VXI,70982,1,Petrol,507000,608899,0,608899,599211
1819,Noida,2019,MAHINDRA,XUV500,W7 FWD,84264,2,Diesel,507000,1086999,135000,951999,932592
1820,Gurgaon,2020,TOYOTA,INNOVA CRYSTA,2.4 ZX AT,31893,1,Diesel,715000,2538199,259600,2278599,2268911
1821,New Delhi,2020,MARUTI,NEW  WAGON-R,LXI CNG 1.0 L,29869,1,Petrol + CNG,715000,568599,0,568599,558911
1822,Ghaziabad,2020,MARUTI,NEW  WAGON-R,1.0 Lxi (o) cng,32337,1,Petrol + CNG,507000,567449,0,567449,555261
1823,Gurgaon,2020,MAHINDRA,XUV500,W9,29839,1,Diesel,367000,1520199,168100,1352099,1332692
1824,Noida,2020,MAHINDRA,SCORPIO,S11,52034,1,Diesel,715000,1712199,165300,1546899,1537211
1825,Noida,2019,MARUTI,DZIRE,VXI,17257,1,Petrol,367000,687599,0,687599,673701
1826,Gurgaon,2019,HYUNDAI,CRETA,1.6 VTVT SX AUTO,32629,1,Petrol,715000,1353699,114600,1239099,1219692
1827,Gurgaon,2014,TOYOTA,COROLLA ALTIS,VL AT,89401,1,Petrol,102000,882699,5000,877699,858292
1828,Noida,2022,TATA,TIAGO,XT CNG 1.2 RTN,7537,1,Petrol + CNG,367000,747199,22400,724799,715111
1829,New Delhi,2018,MAHINDRA,SCORPIO,S3 2WD,57534,1,Diesel,315000,947899,5000,942899,923492
1830,New Delhi,2021,HYUNDAI,CRETA,S CRDI,34475,1,Diesel,715000,1450499,175000,1275499,1261601
1831,Noida,2020,HYUNDAI,GRAND I10 NIOS,SPORTZ PETROL,16489,1,Petrol,367000,676399,25500,650899,641211
1832,New Delhi,2018,MARUTI,CELERIO,VXI CNG,44573,1,Petrol + CNG,507000,476099,16800,459299,446757
1833,New Delhi,2015,HYUNDAI,ELITE I20,SPORTZ 1.2,85812,1,Petrol,102000,493599,0,493599,483911
1834,New Delhi,2019,MARUTI,NEW  WAGON-R,1.0 Lxi (o) cng,84696,2,Petrol + CNG,715000,502199,0,502199,490011
1835,New Delhi,2018,MARUTI,DZIRE,VDI,64467,1,Diesel,507000,625099,24750,600349,586451
1836,New Delhi,2015,MARUTI,SWIFT,VXI,62969,1,Petrol,181000,393299,0,393299,379401
1837,Gurgaon,2017,MARUTI,BALENO,ZETA 1.2 K12 AMT,64182,2,Petrol,507000,598399,47100,551299,537401
1838,Gurgaon,2016,MARUTI,ALTO K10,LXI CNG,91467,1,Petrol + CNG,468000,346799,13400,333399,320857
1839,Gurgaon,2018,MARUTI,BALENO,ZETA PETROL 1.2,56483,1,Petrol,507000,553799,15400,538399,524501
1840,Noida,2020,TATA,HARRIER,XZ 2.0L Kryotec,33760,1,Diesel,507000,1438599,159400,1279199,1269511
1841,Gurgaon,2020,HYUNDAI,VERNA,S+ DIESEL MT,24480,1,Diesel,507000,1151399,114400,1036999,1027311
1842,Gurgaon,2013,FORD,ECOSPORT,1.5 TREND TDCI,33840,2,Diesel,181000,420199,44100,376099,362201
1843,Noida,2018,HYUNDAI,CRETA,1.6 CRDI SX PLUS AUTO,57880,2,Diesel,507000,1114999,104000,1010999,991592
1844,New Delhi,2017,MARUTI,VITARA BREZZA,VDI OPT,51422,2,Diesel,507000,641799,7500,634299,620401
1845,Noida,2017,VOLKSWAGEN,AMEO,HIGHLINE PLUS DSG 1.5,41739,1,Diesel,169000,628799,31700,597099,584911
1846,Gurgaon,2014,AUDI,A3,35TDI PREMIUM,91887,2,Diesel,300,1346499,380700,965799,946392
1847,Noida,2019,MAHINDRA,BOLERO,Power+ ZLX,29851,1,Diesel,367000,832199,0,832199,822511
1848,New Delhi,2016,MAHINDRA,SCORPIO,S10,43912,1,Diesel,181000,1156649,166050,990599,980911
1849,New Delhi,2019,FORD,ECOSPORT,1.5TITANIUM TDCI,51884,2,Diesel,715000,793299,50100,743199,729301
1850,Noida,2017,MAHINDRA,SCORPIO,S10 Intelli Hybrid 2WD,42995,2,Diesel,169000,1199099,136000,1063099,1043692
1851,Gurgaon,2017,MARUTI,SWIFT,ZDI,51607,2,Diesel,507000,557499,47000,510499,496601
1852,New Delhi,2015,FORD,ECOSPORT,1.5TITANIUM TDCI,78133,1,Diesel,7402,493299,52300,440999,427101
1853,Gurgaon,2014,MARUTI,SWIFT,VDI,87888,1,Diesel,102000,388599,17100,371499,357601
1854,New Delhi,2018,HONDA,CITY,VX MT PETROL,23512,2,Petrol,169000,924099,0,924099,910201
1855,New Delhi,2018,HYUNDAI,ELITE I20,Magna Executive 1.2,34810,2,Petrol,169000,574099,0,574099,560201
1856,New Delhi,2021,MARUTI,S PRESSO,VXI PLUS,51,1,Petrol,474000,492199,0,492199,479657
1857,Gurgaon,2014,HONDA,AMAZE,1.2 EMT I VTEC,27074,1,Petrol,181000,406899,0,406899,397211
1858,New Delhi,2014,MARUTI,WAGON R 1.0,LXI CNG,68315,2,Petrol + CNG,140000,268299,0,268299,258611
1859,New Delhi,2020,MARUTI,NEW  WAGON-R,LXI CNG 1.0 L,45592,1,Petrol + CNG,715000,568599,0,568599,558911
1860,Gurgaon,2021,MARUTI,CELERIO,VXI,10407,1,Petrol,507000,514699,0,514699,502511
1861,New Delhi,2018,MAHINDRA,XUV500,W11 (O) AT,55218,2,Diesel,315000,1381899,0,1381899,1362492
1862,New Delhi,2021,MARUTI,NEW  WAGON-R,LXI 1.0 L,19313,1,Petrol,507000,541299,0,541299,531611
1863,Noida,2016,FORD,ECOSPORT,1.5 TITANIUM TI VCT AT,80818,1,Petrol,102000,561199,0,561199,547301
1864,New Delhi,2015,HONDA,AMAZE,1.2 VXMT I VTEC,32510,1,Petrol,140000,469899,0,469899,460211
1865,New Delhi,2018,MARUTI,ALTO 800,LXI,19169,2,Petrol,169000,328699,0,328699,316157
1866,Gurgaon,2019,MARUTI,NEW  WAGON-R,1.0 Lxi (o) cng,84696,2,Petrol + CNG,715000,502199,0,502199,490011
