,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,On_Road_Price
1501,MAHINDRATHAR,MAHINDRA,Gurgaon,2021,18128,1,Petrol,715000,1631699
1502,MARUTIXL6,MARUTI,New Delhi,2020,70925,1,Petrol,715000,915699
1503,MARUTISWIFT,MARUTI,New Delhi,2018,46801,1,Petrol,507000,512699
1504,MARUTIALTO,MARUTI,New Delhi,2020,10487,1,Petrol,367000,368299
1505,HYUNDAICRETA,HYUNDAI,New Delhi,2015,49818,1,Petrol,520000,781199
1506,RENAULTTRIBER,RENAULT,Gurgaon,2021,10682,1,Petrol,367000,746999
1507,MARUTIIGNIS,MARUTI,New Delhi,2018,45876,1,Petrol,507000,503599
1508,MARUTIWAGON R 1.0,MARUTI,Gurgaon,2017,18705,1,Petrol,169000,419099
1509,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,38406,1,Diesel,734000,1270199
1510,MARUTIBALENO,MARUTI,Gurgaon,2016,22763,1,Petrol,520000,536899
1511,HYUNDAIGRAND I10,HYUNDAI,New Delhi,2017,34913,1,Petrol,169000,489899
1512,HYUNDAIELITE I20,HYUNDAI,Noida,2017,60259,1,Petrol,507000,686299
1513,MARUTISWIFT,MARUTI,New Delhi,2014,79066,1,Petrol,181000,392299
1514,TATAALTROZ,TATA,Gurgaon,2021,22949,1,Diesel,715000,808699
1515,MAHINDRASCORPIO,MAHINDRA,Noida,2021,14445,2,Diesel,507000,1786599
1516,MARUTIALTO,MARUTI,New Delhi,2021,8617,1,Petrol,367000,416499
1517,MARUTIBALENO,MARUTI,New Delhi,2018,39903,2,Petrol,169000,541699
1518,HYUNDAINEW SANTRO,HYUNDAI,New Delhi,2021,45369,1,Petrol + CNG,715000,626999
1519,MARUTIBALENO,MARUTI,Gurgaon,2019,31803,1,Petrol,715000,710099
1520,HYUNDAIELITE I20,HYUNDAI,New Delhi,2017,50347,2,Petrol,507000,615629
1521,HYUNDAIGRAND I10 NIOS,HYUNDAI,New Delhi,2021,33134,1,Petrol + CNG,715000,754599
1522,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,23571,1,Petrol,370000,989499
1523,MARUTIS PRESSO,MARUTI,New Delhi,2021,12349,1,Petrol,507000,439099
1524,MARUTIBALENO,MARUTI,Gurgaon,2020,26001,1,Petrol,715000,785899
1525,MARUTIALTO 800,MARUTI,New Delhi,2018,24990,1,Petrol,169000,342599
1526,MARUTIBALENO,MARUTI,Gurgaon,2018,50893,1,Petrol,507000,551599
1527,VOLKSWAGENPOLO,VOLKSWAGEN,New Delhi,2017,46133,1,Petrol,169000,688399
1528,MARUTISWIFT,MARUTI,New Delhi,2018,42580,1,Petrol,507000,500699
1529,MARUTICIAZ,MARUTI,Gurgaon,2018,82500,2,Diesel,715000,740199
1530,MARUTIBALENO,MARUTI,Gurgaon,2020,37235,2,Petrol,507000,676399
1531,HYUNDAICRETA,HYUNDAI,New Delhi,2018,77443,1,Diesel,715000,961499
1532,MARUTIALTO K10,MARUTI,New Delhi,2018,32393,1,Petrol,169000,372999
1533,MARUTIBALENO,MARUTI,New Delhi,2017,41029,1,Petrol,169000,530099
1534,MARUTISWIFT,MARUTI,Gurgaon,2017,47518,1,Petrol,169000,448699
1535,HYUNDAINEW SANTRO,HYUNDAI,New Delhi,2021,78034,1,Petrol + CNG,507000,615599
1536,HYUNDAIGRAND I10 NIOS,HYUNDAI,New Delhi,2021,29011,1,Petrol + CNG,715000,781999
1537,TOYOTAYARIS,TOYOTA,New Delhi,2021,8461,1,Petrol,367000,1054099
1538,SKODARAPID,SKODA,New Delhi,2020,9770,1,Petrol,367000,1001099
1539,MARUTIS PRESSO,MARUTI,New Delhi,2020,20342,2,Petrol,507000,412099
1540,HYUNDAIGRAND I10,HYUNDAI,Noida,2018,39637,1,Petrol,169000,500899
1541,MARUTIALTO,MARUTI,New Delhi,2020,4690,1,Petrol,367000,370199
1542,TATAHARRIER,TATA,Noida,2019,43142,1,Diesel,507000,1259599
1543,FORDECOSPORT,FORD,New Delhi,2017,27972,1,Petrol,169000,839599
1544,MARUTIVITARA BREZZA,MARUTI,New Delhi,2018,31812,2,Diesel,370000,938899
1545,MARUTIXL6,MARUTI,Gurgaon,2019,57244,1,Petrol,507000,959899
1546,HYUNDAINEW SANTRO,HYUNDAI,New Delhi,2019,69952,1,Petrol,507000,489599
1547,MARUTIBALENO,MARUTI,New Delhi,2018,39423,1,Petrol,169000,550549
1548,MARUTIALTO K10,MARUTI,Gurgaon,2017,66997,1,Petrol,507000,337799
1549,MARUTIALTO 800,MARUTI,New Delhi,2018,41435,1,Petrol,507000,308399
1550,MARUTIALTO K10,MARUTI,Noida,2018,23179,1,Petrol,468000,390299
1551,MARUTIBALENO,MARUTI,Gurgaon,2019,25639,1,Petrol,367000,633799
1552,MARUTIALTO K10,MARUTI,New Delhi,2018,40324,1,Petrol,468000,368899
1553,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2015,84475,1,Petrol,102000,430699
1554,MARUTINEW  WAGON-R,MARUTI,Gurgaon,2020,73674,1,Petrol + CNG,507000,568599
1555,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2017,32864,1,Petrol,169000,506099
1556,MARUTIBALENO,MARUTI,Gurgaon,2019,26510,1,Petrol,367000,662699
1557,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,40671,2,Diesel,315000,1311499
1558,HONDAWR-V,HONDA,Gurgaon,2020,59848,1,Diesel,715000,1040199
1559,MARUTIVITARA BREZZA,MARUTI,New Delhi,2020,13779,1,Petrol,474000,851399
1560,SKODARAPID,SKODA,Noida,2016,30080,2,Petrol,140000,506599
1561,TOYOTAETIOS LIVA,TOYOTA,New Delhi,2019,31645,1,Petrol,507000,496099
1562,FORDECOSPORT,FORD,Gurgaon,2017,39340,2,Petrol,169000,697599
1563,MARUTIS PRESSO,MARUTI,Gurgaon,2020,57636,1,Petrol,507000,411499
1564,MARUTIBALENO,MARUTI,New Delhi,2015,73790,1,Petrol,102000,483999
1565,TATAHEXA,TATA,Noida,2018,67729,2,Diesel,507000,1124899
1566,MARUTIALTO K10,MARUTI,Ghaziabad,2019,17811,1,Petrol,367000,396199
1567,MARUTIBALENO,MARUTI,Gurgaon,2017,47400,2,Petrol,181000,520599
1568,TATAHEXA,TATA,New Delhi,2018,76644,1,Diesel,507000,1086599
1569,MARUTISWIFT,MARUTI,New Delhi,2018,53917,1,Petrol,507000,539099
1570,MARUTIBALENO,MARUTI,Gurgaon,2018,34658,1,Petrol,370000,574199
1571,HONDAAMAZE,HONDA,New Delhi,2014,93023,1,Petrol,102000,419899
1572,MARUTIBALENO,MARUTI,Gurgaon,2018,51337,1,Petrol,507000,540199
1573,TATAALTROZ,TATA,Gurgaon,2020,17554,1,Petrol,474000,814499
1574,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2017,35605,2,Petrol + CNG,169000,489899
1575,MAHINDRAXUV 3OO,MAHINDRA,New Delhi,2019,40883,1,Diesel,715000,861199
1576,MARUTIALTO,MARUTI,New Delhi,2020,13448,2,Petrol,367000,379799
1577,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2017,50018,2,Petrol,169000,455399
1578,MARUTIXL6,MARUTI,Noida,2019,37577,1,Petrol,715000,871599
1579,MARUTIVITARA BREZZA,MARUTI,Noida,2019,22050,1,Diesel,474000,882899
1580,MARUTIALTO,MARUTI,Gurgaon,2021,12426,1,Petrol,507000,372599
1581,MARUTISWIFT,MARUTI,Gurgaon,2018,93871,1,Petrol,507000,507899
1582,FORDECOSPORT,FORD,Gurgaon,2019,14294,1,Petrol,474000,846299
1583,HYUNDAIXCENT,HYUNDAI,Gurgaon,2014,88737,2,Petrol,468000,373599
1584,MARUTIALTO 800,MARUTI,Gurgaon,2019,58321,1,Petrol + CNG,507000,328899
1585,MARUTIBALENO,MARUTI,Gurgaon,2016,45729,1,Petrol,181000,522299
1586,HYUNDAIGRAND I10 NIOS,HYUNDAI,Gurgaon,2020,16596,1,Petrol,367000,707199
1587,MARUTIBALENO,MARUTI,New Delhi,2019,53447,1,Petrol,507000,650199
1588,HONDAAMAZE,HONDA,Gurgaon,2016,92323,1,Petrol,507000,479599
1589,MARUTISWIFT,MARUTI,Gurgaon,2019,48284,1,Petrol,507000,554599
1590,MARUTIALTO 800,MARUTI,New Delhi,2019,17149,1,Petrol,468000,339499
1591,MARUTIALTO K10,MARUTI,New Delhi,2017,48441,1,Petrol,169000,360699
1592,HYUNDAICRETA,HYUNDAI,Gurgaon,2019,15440,1,Petrol,367000,1103599
1593,RENAULTDUSTER,RENAULT,Gurgaon,2021,10233,1,Petrol,474000,1465799
1594,MARUTIVITARA BREZZA,MARUTI,Noida,2021,15363,1,Petrol,507000,956299
1595,MARUTIS CROSS,MARUTI,New Delhi,2021,9620,1,Petrol,474000,911799
1596,HYUNDAICRETA,HYUNDAI,New Delhi,2018,41223,1,Diesel,370000,952199
1597,MARUTIXL6,MARUTI,Noida,2021,36951,1,Petrol,507000,989299
1598,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,40644,1,Diesel,315000,1012499
1599,MARUTIBALENO,MARUTI,New Delhi,2017,53807,1,Petrol,315000,566299
1600,MARUTIBALENO,MARUTI,Gurgaon,2016,53335,1,Petrol,181000,518399
1601,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2016,72477,1,Petrol,102000,434199
1602,MARUTIBALENO,MARUTI,Noida,2017,45032,1,Petrol,169000,547899
1603,MARUTICELERIO,MARUTI,Noida,2018,69576,2,Petrol + CNG,507000,475299
1604,MARUTIBALENO,MARUTI,Gurgaon,2020,28613,1,Petrol,507000,710399
1605,MARUTIIGNIS,MARUTI,Noida,2018,92618,1,Petrol,507000,487099
1606,MARUTIS PRESSO,MARUTI,New Delhi,2020,8519,1,Petrol,367000,452899
1607,MARUTIIGNIS,MARUTI,New Delhi,2018,34211,1,Petrol,169000,497799
1608,MARUTIALTO,MARUTI,Gurgaon,2020,42796,1,Petrol,100000,383399
1609,MARUTIS CROSS,MARUTI,Gurgaon,2021,15457,2,Petrol,715000,948899
1610,MARUTICELERIO,MARUTI,New Delhi,2018,74328,1,Petrol + CNG,507000,464599
1611,MARUTISWIFT,MARUTI,New Delhi,2015,82164,1,Petrol,102000,412299
1612,MARUTIALTO,MARUTI,Gurgaon,2020,18261,1,Petrol,367000,372399
